scenario_id,goal_bet_share,no_goal_bet_share,simulations,mean_profit,median_profit,p5_profit,p1_profit,worst_profit,loss_probability,mean_margin,mean_handle,mean_max_liability,p99_liability,mean_acceptance_rate,mean_rejected_handle,mean_goal_odds,mean_no_goal_odds,bettor_payout_per_dollar,bettor_net_per_dollar,no_goal_payout_per_dollar
1,0.05,0.95,5000,-982.2192399519239,-1016.4,-1016.4000000000002,-1016.4000000000004,-1016.4000000000009,1.0,-0.48713072853519807,2646.1409146468004,968.2217085994221,1000.0000000000005,0.2473614285714286,8549.284615727529,2.9393450272419552,1.9832252315694212,1.4798179837412488,0.4798179837412486,1.8737917995774536
2,0.1,0.9,5000,-921.4920109208364,-995.3856796199514,-1016.4,-1016.4000000000004,-1016.4000000000009,0.9994,-0.21924742265058098,4790.00416747798,909.8210566943627,1000.0000000000005,0.4408642857142857,6419.046694772278,2.9561838383600523,1.6748058455560952,1.215915111671025,0.2159151116710249,1.5845725654867837
3,0.15,0.85,5000,-788.1824351796987,-864.0352550276186,-1016.4,-1016.4,-1016.4000000000009,0.9886,-0.13010287814225657,6629.601862787241,789.7375429927685,1000.0,0.6042914285714286,4592.939257853879,2.9666767398062364,1.5935652704612824,1.1281153224533254,0.12811532245332552,1.511995410809856
4,0.2,0.8,5000,-583.14302229196,-651.1068758048275,-1016.4,-1016.4,-1016.4000000000009,0.9278,-0.07891884574541588,7939.199483688937,634.6978352350709,1000.0,0.720757142857143,3239.4513687894305,2.9477876788152773,1.574524404402574,1.0776131979280736,0.07761319792807364,1.496502565633188
5,0.25,0.75,5000,-287.09810274271865,-328.7974604873051,-934.4065692473087,-1016.4,-1016.4000000000009,0.7476,-0.03538248811002859,8886.647446586434,489.35853636566026,1000.0,0.8009614285714286,2305.1838341296143,2.9157857025651124,1.582822172351332,1.034494477371034,0.034494477371033914,1.504110441863961
6,0.3,0.7,5000,55.37616573790916,45.01634628872694,-719.2118609978893,-934.8145671196808,-1016.4000000000009,0.4646,0.0041040085973421715,9542.442873513002,459.6525744248319,1000.0,0.8558142857142856,1674.6202594248375,2.8465148612209603,1.6062152045444253,0.995139087908307,-0.0048609120916929685,1.5288935791574851
7,0.35,0.65,5000,401.88370335688035,405.4327402321984,-415.17720912015085,-719.792855683279,-1016.4,0.204,0.03988449872875675,9894.524824768812,542.9748244082045,1000.0,0.8880299999999999,1306.905703968358,2.756469513406564,1.638767226211448,0.9592551769116695,-0.040744823088330495,1.5613423782527254
8,0.4,0.6,5000,716.1130416025792,697.7901970377575,-74.62620726752215,-399.09822414911673,-953.7269119181454,0.0642,0.07075292906953196,10082.968916226944,667.2019962006466,1000.0,0.9030728571428571,1125.3517657579835,2.658434290481534,1.6719160818307623,0.9282189649647192,-0.07178103503528079,1.5942513508874014
9,0.45,0.55,5000,1030.9641404483107,988.7927079301468,275.4218806936143,-75.1703297239325,-713.655355849399,0.0136,0.10177878830950352,10113.880456647728,763.7514096245973,1000.0,0.9062157142857145,1095.3794477486156,2.536461688394494,1.7063041415640299,0.8970470161472924,-0.10295298385270767,1.63224706737952
10,0.5,0.5,5000,1321.6525690596134,1273.8611246834907,549.0774712707566,251.17899917571572,-429.8981784263222,0.0028,0.13192314102074745,10024.468919243875,830.3019703775244,1000.0,0.8970457142857143,1199.2696821273844,2.420615390051038,1.7438324876815168,0.8667944495797918,-0.13320555042020815,1.6734767504931727
11,0.55,0.44999999999999996,5000,1597.4476871697775,1541.7882155475725,747.2923087911178,495.48941456483175,-55.12983846795832,0.0002,0.16345998343093396,9786.875408491682,876.3581424960531,1000.0,0.8775971428571429,1418.4520961250012,2.313746527956696,1.780189892114413,0.8351588192832414,-0.16484118071675852,1.7152236016831623
12,0.6,0.4,5000,1858.0915469215806,1783.9017062748012,960.8754892915339,680.8999378883454,265.83734188272365,0.0,0.19774740389231885,9425.851529835963,904.9633673879944,1000.0000000000009,0.84673,1771.5387023809124,2.208512929916577,1.8172163121954723,0.8007577786034448,-0.19924222139655517,1.760394711760776
13,0.7,0.30000000000000004,5000,2378.269572052612,2323.8263792147163,1281.077319670291,971.1509154280756,307.99956313043634,0.0,0.283016886428305,8457.852066438925,944.4762609742365,1000.0000000000009,0.76149,2744.623561917195,2.013059958134694,1.8833069602206254,0.7152424965204,-0.28475750347959994,1.8417697481336568
14,0.8,0.19999999999999996,5000,2815.2981338696027,2796.3822169063433,1640.5210413939835,1214.88198215088,700.98998491857,0.0,0.40271028103901274,7057.709574286291,971.045072531264,1000.0000000000009,0.6366057142857143,4151.418410805879,1.8211635901794885,1.9362549076731852,0.5951513712754619,-0.40484862872453803,1.908096799897609
15,0.85,0.15000000000000002,5000,2967.3423565676776,2963.0740560342524,1778.1203109130622,1334.901012243333,832.9374195314441,0.0,0.4836260563167134,6211.989827744837,978.8054387645075,1000.0000000000009,0.5601628571428572,5009.93867771824,1.722826854182581,1.9533011669357154,0.5139143206917947,-0.48608567930820534,1.9412589097643236
